	Expression1	Expression2
LAMP1	-0.06778259	-1.0103
ACSL5	-0.15209691	2.5837998
ABCA2	0.17456245	2.3808498
APH1A	0.00789994	-0.2135
SSR1	1.6619543	1.40915
HNRNPDL	-2.5103302	-3.08425
TNKS	2.054934	0.91725
FLNA	-0.2677988	-1.6712999
DHX58	2.0189068	3.474
TOR4A	-0.88221955	-1.4767
ITPR3	0.48319545	-0.53365
SS18	-0.5371024	0.11750001
STK11	0.01968874	-0.5538
SMURF1	-1.6815256	0.059399992
TNN	-0.5233904	2.5326
BRSK2	1.4530078	5.4143
TMED10	1.7224772	1.9331001
RPN2	0.3550343	0.7159
GAPDH	0.0	0.0
TCF12	0.4957492	-0.548
CPPED1	1.2162924	0.48035002
RPS21	0.28970096	0.053499997
SIAH2	-1.1473945	-0.63765
CYFIP2	0.91102576	1.81875
RPS16	0.2387089	-0.41509998
AIMP1	0.9503956	2.4140499
IRF2	-0.36798587	-1.81535
MGLL	-1.3104286	-2.0172
NDUFS3	0.64152837	-0.50875
PRKCA	-0.49194825	-3.9011
PLEKHM2	-0.8590985	1.387
PSMD5	-1.1511674	-2.08145
STK25	1.2117987	3.6041
SLCO2B1	0.98286957	2.16605
ACTA2	1.2556419	0.27144998
FAM3C	0.8672085	2.05345
CMKLR1	1.8855866	4.317
U2AF2	-1.2448775	-2.29965
MAPK8IP2	1.8876622	7.60215
STK17B	0.68399644	2.2514
ERP29	0.9999115	-1.2109499
PIK3CA	1.7937845	5.271
AP2S1	1.8056556	2.34035
JPH2	0.57660365	4.5516
BAZ1B	-1.6240913	-3.14905
SPRY1	0.41693264	2.04045
PHB	-1.2058958	-4.4622
ESRRA	-0.38670257	-0.7977
PDGFA	-4.177276	-4.11555
PLTP	-0.32452172	-0.40745
IL16	0.67306566	0.41134998
AHR	-1.8294033	-1.7195001
TERT	3.2490096	7.7295
BDNF	-1.3237339	0.11019999
SERPINB5	-3.5150049	-4.9893
SERPINH1	1.4448935	0.21555
SMC6	1.5470127	5.8180504
FBXO2	1.5988792	2.24445
PSMB4	-0.29300407	-0.8332
RDH5	2.4321766	2.93275
WFDC2	0.5068191	0.1981
TENM4	1.487597	1.5041499
OXSR1	-2.8467703	-6.7278
APP	1.258071	4.61375
TNFSF8	1.5665282	4.1669
FOXL2	0.11180821	2.5818
SIRT3	2.6495728	5.17585
SRPK2	1.0251971	3.44135
CTSD	2.4069698	4.62395
PDHX	-1.6643267	-6.5012503
ARHGEF4	0.2843126	2.435
UBR2	0.9156134	4.3622
PPARD	-1.5780938	1.1032
PECR	2.7579358	5.42485
LILRA5	-0.020178244	1.42785
SPRED2	-0.84795856	-0.31484997
CTSH	-0.33077106	-2.0177
PEMT	1.6457148	-0.032349974
POLR1E	-1.002273	0.4668
DUSP10	-1.5402272	-2.0353
TPCN1	0.42279524	-3.42815
POLR3K	-0.58377784	-1.9054501
ATP6V0B	2.2065492	7.5668
FOXA2	-0.44838357	1.86835
GRAP2	2.3087654	5.4533
SOD2	-0.45947057	3.5760002
SLC25A1	2.1000738	2.7301998
PDAP1	0.9614743	0.41285
NOTCH4	1.7991371	5.67925
TRADD	0.07378477	0.93079996
GPR37	2.105638	4.89095
TNRC6B	0.3877261	2.4403
ARHGDIB	-0.23142497	1.0366
ATG5	0.50798136	1.2268
HYAL1	1.0089375	2.1901002
SPTBN1	-0.39053836	-3.14495
PCID2	1.2068579	-0.24755
CYCS	1.6358478	6.36805
STK4	0.4833179	1.4913499
TRAFD1	0.6411743	-1.335
RPS6KA5	-0.48061153	1.7903
NTRK3	0.14007367	3.47725
DHCR7	1.5988286	2.57765
CYP19A1	1.114411	3.5125499
MED25	1.6825203	4.0176
TPK1	0.29015326	-0.53435004
FUT2	-0.22002055	-2.66565
DENND3	-0.7761618	-1.1586
IP6K2	-2.0938797	-1.57445
CYP4F11	0.56300026	2.9132
ICOSLG	0.9600898	4.86895
ZC3H12A	-3.5158408	-1.47245
NAE1	-0.072906405	-1.04485
AGO2	-2.9972632	-4.2108
TASP1	-0.7465146	-0.53730005
GADD45A	-4.9874053	0.64865005
DSTYK	-0.13464907	1.79835
AGR2	-0.31000823	-2.84225
IGF1R	-0.9726478	-1.4559
EPHA2	-4.4403543	-4.7739496
WNT5B	-0.4909291	0.54395
TRIP4	-0.16071719	1.2716
WWOX	1.7173259	0.5926
IGF1	1.1595656	2.0887
LPIN2	1.1472331	-0.88475
PRKACB	-0.21353137	2.4599
ALDH1A2	1.1083645	1.89755
TADA3	0.17456946	0.73155
ARAF	2.1288671	1.25335
SPOCK2	0.20857182	1.8999
PHF8	-0.69228816	-2.2872
EMD	1.8554221	0.74175
HNRNPU	-0.48630875	-3.2311502
LARP4	-1.7758607	-2.8123999
ESRRG	0.57295907	2.9873
PFKFB1	1.7554911	5.2199
BAMBI	1.0301704	4.3485503
PSEN2	0.102465995	-0.0414
SH2D3A	-0.30941987	1.4361999
PON3	0.61655796	4.1433496
GNB1	0.2753174	2.4033499
CCS	1.2515965	1.2447
TP53I11	1.0862586	1.3255999
SPDEF	-0.12901433	-5.14555
EPHB6	0.44753098	1.1525
GTF2E2	-1.169083	-3.39185
STC2	-0.871745	0.27714998
NREP	2.2584763	3.7404
TRIM24	-0.6802661	1.79055
CD300A	1.5443771	3.96755
SESN1	-0.8204075	2.2463002
IRAK1	0.45683274	0.54845
ATP6V1B2	-1.0883051	-3.81845
KLK6	-0.74416506	-0.75815
ADAMTS3	0.34391946	0.2252
PRELP	2.2127464	4.01665
RPS24	0.4026819	-0.89705
MICA	0.45209634	0.0652
ZNF430	-0.8251797	1.7087
ANXA3	-0.18644622	-0.6645
SLC6A6	-0.03551084	-1.29835
CDC34	-0.70308685	0.74825
CADM1	2.1250188	8.8029
FABP6	0.943167	2.9875
ZFHX3	0.40685016	-0.83790004
NAGPA	1.0228935	1.0274501
ICE1	-1.6966377	0.015499979
MZF1	1.7666675	3.7189
MAEA	-1.1132632	-2.7277
SRPRA	-0.5821243	-2.54865
SMG8	-1.9340007	-4.14915
PCYOX1L	0.6208436	0.014149964
APTX	0.540948	1.2166
ABCA3	0.049644396	0.24834996
ITGB2	0.3435429	1.69515
CCR1	0.11367425	0.15104997
IGFBP3	0.27967602	5.8712
DUSP7	-4.686225	-8.8822
HEY2	0.9382051	1.1683
SLC20A1	-3.5680242	-6.5345
SERTAD2	-3.768587	-3.6476
MLC1	0.3334316	0.4396
SATB2	-0.8291115	0.48419997
ENG	0.78384125	0.92114997
AKR1B1	-0.35312974	-2.23455
ARC	-1.4240913	0.87329996
OLA1	0.03663537	-1.85905
STAT6	-0.69065154	-2.3803499
HGSNAT	1.4559599	1.64685
CCKBR	-0.6109407	0.31045
WDR6	-1.7962786	-5.75725
GID8	-0.05560079	-3.2803502
RRAGA	0.017658204	-1.0719999
VIM	1.266795	-1.5916998
LITAF	-0.013417937	1.3759501
APPL1	0.6402624	-0.57175004
UGDH	-0.5649928	0.96175003
SCYL2	1.011199	4.3356
NSMF	-0.5558085	-0.92865
IRS2	-0.216783	-3.2194
ALPK1	1.9048786	6.456
FCGR3B	0.08427628	2.23145
ERBB4	1.5178293	5.2095
CYP27B1	-0.34190786	3.01435
MDM4	0.7840793	1.8098
ACSM5	-0.099953935	3.1272
CXCL12	-0.5678355	-0.010149986
NR0B2	1.1367234	5.80475
NNMT	0.28977907	-1.0967
MCAT	-0.34547752	-1.82575
RPS9	-0.5517621	-2.57365
LYST	0.5610946	2.1226
SIRT6	1.0047423	3.8464
IRAK3	-0.06422487	0.84714997
ASL	2.2289257	2.7449002
SCARA3	1.2473824	1.9893
RIMS1	0.7373142	2.7426
CXCL5	0.12975325	-1.0838499
TLE1	-5.5177717	-9.27915
DOK3	2.0176766	4.7103996
GRB2	-1.0468314	-2.6746001
NFYA	-0.77797467	-1.1067
ANXA4	3.3535206	4.82855
FZD5	1.2222118	2.9191
MYC	-9.768618	-10.0
USP18	1.6856754	2.58815
CHKB	2.9372296	6.8744497
ZNF395	1.4114937	4.8258
ZDHHC13	1.8979232	4.87535
SGK1	-1.7492161	-1.7126501
ELP5	1.4566125	-0.9213
SMARCA1	0.5477294	2.00525
OAS2	0.50870025	1.3083
HLA-C	1.2516204	3.9624
BIRC2	-4.2736855	0.08370003
B3GNT3	0.6058767	0.41555
ARHGEF5	0.47139186	3.63345
LTA4H	1.5295273	1.1366
SOX15	-1.311849	-0.51345
MOSPD1	2.3646827	5.8495502
ZNF750	-0.5739305	-0.19979998
TNFRSF14	0.3823341	2.12585
VCL	-0.8284198	-2.82055
MRPS18B	1.3857368	2.0970502
NOTCH3	1.2745466	2.3892999
ST3GAL4	-0.09195779	-0.10749999
HADH	4.130348	6.4774
TWF1	0.56521815	3.04825
AKR1C3	-0.7188332	-1.6340499
ITGA5	0.5860465	0.4368
KPNB1	-1.5494516	-4.1326
STK24	-1.061007	-4.5973
ETFA	2.038328	2.3586001
CYP4F3	1.5151173	1.9402499
GLI2	1.1784041	7.1017
EPHB4	-0.49857193	-1.4134
TREM2	1.5312226	5.68315
GLDC	-0.4765206	-1.56765
CTDNEP1	-1.4743893	-2.73515
GGCT	1.7384531	2.3982
EAF2	1.0001565	1.821
ZNF143	-1.4284575	-1.7248499
AUTS2	-0.14918599	2.1429
IL13RA2	0.62888145	2.6223
IFNAR1	1.652906	5.5367002
ITGA6	-2.0635219	-2.9125
CTNNA1	2.4973774	4.3804502
ITCH	-0.47384685	-1.4546
FLAD1	-0.24676754	2.0817
CCL18	1.5479131	0.08365002
GAB1	1.0931002	3.76875
RYR3	-0.6860869	2.0244
GOT1	1.0788541	0.44845003
FPR2	0.70588505	2.1511998
USP36	-1.1795177	0.48174998
BLM	-2.7274823	-4.6065497
PLA2G15	-2.069209	-2.04705
SLC39A14	0.57008904	0.53945
PTPN1	-0.023377717	1.76595
RUBCN	-1.3469999	0.3017
BARD1	-2.620615	-3.027
APC2	0.35173696	2.64475
STAT3	0.40852606	5.9256
CCPG1	2.8505406	5.11935
YBX1	1.1670182	0.11505
CASQ1	1.1159587	3.49195
HARS2	-0.3101954	-1.8032
HES2	0.9641826	4.2969503
GSN	1.2268711	0.54915005
IRF4	-0.008385837	-0.66924995
DNAJC1	0.4934885	-1.25945
GRHPR	0.40506622	-0.68545
PSMC6	-0.98129535	-4.5238
CITED1	-1.4923579	0.29855
NRP1	0.41365474	0.7906
CDH2	0.25631464	-1.36355
RUVBL2	-0.10045459	-2.69875
CDKL3	2.1008158	5.8365498
HACD3	1.5939679	3.42515
IST1	-3.700912	-6.2777
MTCH2	1.801374	1.6094999
RPL34	0.5420569	-1.90695
JUNB	-2.4150252	-1.85375
EEF2	-0.5973204	-1.66065
CYB5R4	2.6176689	7.65175
PTRH2	-1.9037802	-5.7619
GPSM3	0.41277122	2.4394999
PIGH	0.1032441	-2.57635
MCRS1	-0.56407756	-3.5615
GFI1	-0.15002441	2.7272
MST1R	0.26196516	-2.3185
PDK1	0.06933711	1.02775
AGER	0.3470555	3.68685
DPF1	0.9772286	4.8185
PTK2	-1.278688	-5.1052504
TMEM127	0.23026887	0.19434994
HSPA1A	-3.1872087	-6.9719
AKR1C2	0.19091672	-1.62245
ZNF516	-1.1806037	-1.39255
FHL1	1.0072029	3.7400498
ARFIP1	0.10016134	0.69215
AKTIP	0.70129347	2.3281498
TAX1BP1	0.9586972	4.2498
CSNK2A2	1.2763467	3.2897
STAM	-2.306059	-1.7918
ANPEP	0.47089988	0.20290002
PHACTR2	-0.8938567	0.13729995
TAF10	1.8862644	0.19725001
CNP	0.08053067	-1.2550501
DERL1	-0.91544867	-0.26085
OS9	0.0675762	3.59775
ARPC3	0.4978941	-0.5339
HAL	0.8961683	-0.60225004
ADAMTS1	-0.68327725	-1.2292
SULT1E1	1.0243189	2.75085
NCAN	-0.09783052	3.3635
PYCARD	0.6721887	3.97365
HIPK3	0.73335624	1.3476499
ATF6B	0.55942947	2.2209
IQGAP2	1.003243	-0.6033
MLLT3	0.28715584	4.13455
DUSP3	-1.7932664	-1.065
PHKA2	1.1197287	3.27805
EBF2	1.0360688	2.9910998
PDCD1LG2	0.6694935	3.21975
ADAM8	-0.88742936	-0.6887
CRYL1	2.592157	-0.21975
ULK1	2.0306368	3.83415
EFEMP1	1.6925634	2.5899
OLR1	1.2705061	3.8643
TWSG1	2.0661516	3.5003
SEMA4G	1.5895381	4.46595
GALT	1.8306925	0.9962
ANKRD27	-1.7184106	-0.25265002
ARNT2	1.5521628	3.47225
HIP1	2.398259	5.8698
THY1	2.9462037	7.1321497
ADH5	1.9819778	1.2217001
RAD52	0.10360482	2.65505
TMEM115	-1.1427621	-5.4813004
TLR3	0.4777656	4.89565
GTF2H4	-0.21571204	-0.21039999
BTN3A1	0.5980969	0.3468
REST	-3.450756	-4.4333
THTPA	0.8023201	3.7265
JAG2	0.12109105	1.8597
MAPKAPK3	1.3992826	0.6458
PIN1	1.0356964	1.7390499
EIF4A3	-2.1783917	-5.25435
NINJ1	0.5757208	0.2778
SLC38A2	-0.67665434	0.18779999
PSME4	-0.90116143	-0.88975
MYLK	1.1477107	1.6774501
HLA-DRA	1.3466357	6.32695
HSP90AA1	-0.65563834	-2.8831
SKI	-1.0818576	-0.12915
MT2A	-2.4606552	-2.0922499
TICAM1	-3.0923748	-6.21055
MRPS33	0.13711023	-1.5032499
ANKLE2	-2.082807	-4.1265
ALOX15B	1.0861899	2.35245
MDH2	0.9471781	2.5007
PLAA	-0.123917535	1.9272499
ILK	0.5138459	-0.8182
TM2D3	-1.1695943	-3.5119
CTF1	1.5217897	1.7695501
TXK	-0.3372087	2.4454
LAMC2	-1.0544522	-2.3531
ESR1	0.53553504	2.25965
PRKCSH	0.18433432	-1.0079
SERPINA7	2.2483103	6.03215
BNIP1	-0.7865263	-2.21505
GAMT	1.7657766	4.35105
EXPH5	1.2265369	4.9625
USP47	-0.4864965	-1.317
FKBP14	2.8386447	5.90435
NDFIP1	-0.16748825	1.8273
TEAD1	-0.23944011	0.82755
MAP3K3	0.26301342	2.6777
SULT1A2	2.23096	2.36685
STAR	0.8359281	1.59055
ESR2	1.3910761	5.4333
GHITM	2.5114732	4.22405
ELN	0.42661518	2.9298
ORMDL2	1.4972	0.60265
PAX3	0.96866626	3.0085
FSTL1	-0.44834235	-0.33505
ERCC3	-1.5392857	-2.7202501
LIMK1	-1.4282575	-2.21695
HCLS1	0.5246636	3.62145
ITGAM	0.82589376	3.4081502
NFAT5	-0.21023579	0.5103
BCAP31	2.6017191	3.31565
TRIM14	0.20501119	-0.52585
SLC27A2	0.06133598	-0.79305
VRK2	1.2934737	2.0552
PTPRG	1.176597	2.65385
TMEM208	0.9634303	1.19095
CACNA1C	1.3506361	4.4818497
SMARCA2	-1.4764699	-1.66605
NEDD9	-0.45622697	1.42785
STAT4	-0.18557447	2.54575
EGLN3	1.8288461	3.9689999
TERF1	1.3423648	0.8929
SUPT4H1	0.9675288	2.4471998
TIAL1	-0.9245848	-0.842
SMAD1	-1.7943326	-1.3492
MRPS7	-1.7330872	-6.69875
ACVR2A	-0.5335561	2.8532
ECI1	0.5464847	4.79535
PRLR	1.0213516	4.2417
TGFB1	0.5838436	2.4886498
TCF20	-0.25675333	-2.3773
NUAK1	1.2328827	2.54495
TRIAP1	-1.1349604	-6.388
BNIP3L	0.5556341	2.11375
CDK6	-0.44679198	-0.63905
CST3	-1.2622497	-5.5276
ITGAX	1.6794256	3.6426
KAT5	-1.1521385	-5.4187
PTPN4	-0.6821608	3.4994001
BAG1	-0.41031554	1.7901
ACOT7	1.369739	0.54345
TOLLIP	-0.047176525	1.50765
FHOD1	-1.0876862	-2.6217
CTSS	2.4024537	4.924
LAMP3	1.4607748	5.6119
ELOVL2	0.07485324	-0.7877
FAH	1.9879581	1.8109
SPIDR	0.026870191	3.1829
CFD	0.5234618	0.2745
STAT5A	0.3914194	1.2183
DIO2	-0.361291	0.45765
MSRB2	0.057742506	-0.60245
BCAT2	0.12045093	1.46835
POLR2E	0.19851917	1.2626001
USP25	-0.3539465	2.3566499
GDE1	1.6959121	3.0726502
BTN2A1	0.092477605	2.5434499
EMP2	-0.71595526	-0.44065
FGD1	0.9796244	2.9161
MAFB	-0.35942844	-2.29865
AGGF1	1.484599	1.9196
PRF1	-0.652857	0.65645003
ATRAID	1.4292263	3.1642
MZB1	1.342653	4.2428503
STEAP3	0.67705965	-0.88365
IL2RB	0.07751	1.68975
