	PT0	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT17	PT18	PT19	PT20	PT21	PT22	PT23	PT24	PT25	PT26	PT27	PT28	PT29	PT30	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38	PT39	PT40	PT41	PT42	PT43	PT44	PT45	PT46	PT47	PT48	PT49	PT50	PT51	PT52	PT53	PT54	PT55	PT56	PT57	PT58	PT59	PT60	PT61	PT62	PT63
RTN2	3.6820936	3.779	5.3417	-1.0214665	0.01808849	4.182255	2.5515	-5.1489	-4.80695	-2.589619	-1.7546	-0.413	0.345	-0.306	0.60683584	-3.77445	1.7503	-0.5814	0.2136	0.33789998	1.6675	-1.8914	2.49155	-0.8920181	0.87693024	-0.8627	-8.1337	0.0013	-1.7910328	1.2944499	0.59136045	-2.8075092	-0.0024	-0.029	-0.5799	-6.1987	-3.7283	-0.37055004	-0.91935	-0.1682	-0.8153	2.1461	-0.083349995	1.7838	-0.06575	-1.7791001	-0.2507	0.5641	-0.7908	1.7175	-0.5813	-6.3272853	7.491	3.8303	5.2002497	10.0	4.4286	1.2081413	1.4293203	1.604595	-1.6837	-0.7839	0.3297	-0.397
IL2RG	-0.021045089	1.4014	4.7241	5.5154085	1.562259	2.710385	2.7071	-0.47	1.73615	0.4471495	-0.973	1.7579	0.3767	1.7857499	0.28160873	6.0715003	4.33665	-0.7538	2.087	3.5501	-1.357	2.5899	3.3707	1.3920262	-0.027240146	-0.4	1.1847	4.4485	0.18426773	1.54865	2.0278115	2.2315311	1.2657	2.4292	2.1466	4.4385	3.9169	2.6296	4.3737	-3.0202	2.512	6.7519	-0.37739998	4.9862	0.17675	0.52175	2.5985	1.9926	4.0698	1.54005	-1.68685	3.8020227	0.9496	2.8168	1.2906001	2.38025	1.7963	1.827975	1.6743867	2.885163	1.4495	4.8756	2.2533	-0.1612
DBT	6.0292444	4.1004	4.548	0.11102694	-0.12787333	4.132948	4.0713	1.8135	-1.88925	-0.806013	-0.409	2.9434	-0.1708	0.978	-0.089416966	2.06325	4.7687	2.2591	3.7527	5.89465	0.5841	-0.9748	3.7687502	-0.374713	2.9939156	-0.8285	-1.3808	4.3547	-0.7468226	4.9298496	1.661614	2.1844893	-0.6673	-1.1771	-0.9974	-2.5086	0.2116	-1.51455	2.18415	2.9349	-0.8344	-0.3415	4.8666	8.272	4.02495	4.17525	2.483	-1.5994	1.2285501	0.399	-0.02139999	-1.8696542	2.86385	1.74915	2.0715	2.58715	1.6011	1.477894	-0.038381547	0.120656535	5.337	1.9081	1.6993	2.1615
EGFL7	2.1226282	0.7393	2.2757	-0.38056388	0.92154187	2.4163117	1.6632	-3.8337	-0.3365	1.5819564	-0.606	-0.0287	-1.7287	1.84815	-0.5058947	-1.02725	-1.78835	1.2346	0.6724	0.51185	1.8262	-1.0633	2.8263	2.1255736	0.681951	-0.4897	-3.2389	3.7048	-2.294591	2.49185	0.53548247	2.4882982	-1.8973	0.6181	-2.2441	0.8945	-1.9906	2.50175	0.88345003	5.2931	-1.0113	2.4542	3.344	0.3152	1.8819	5.0609503	-0.6518	-0.4628	0.92149997	2.1066	1.3440499	-0.90245855	1.4266	1.33135	0.6383	1.9626501	1.7214999	-0.37646425	0.0544471	0.61515814	-1.6134	1.4797	1.267	-0.5043
PIH1D1	1.1490595	5.0689	1.6938	1.5785751	0.024667935	1.6788645	-0.6586	-0.6838	-5.2788	-3.6918252	-3.7001	-0.0926	-1.4233	0.65325	0.032258008	0.11585	0.94269997	-0.9096	-0.2203	0.14545	2.8667	-0.2521	1.63685	-0.8667452	1.3438052	-0.1716	-5.8342	9.0031	-1.486438	2.78685	2.3125877	-2.6786025	0.3592	0.6184	2.2371	-3.0639	-6.8409	-2.22025	-0.33860004	-1.2895	3.8645	0.2839	1.6319	-3.7846	1.2972	-1.523	-0.6806	3.8336	-1.4681	-3.3677	-1.77145	-0.58253264	0.27565002	0.48680001	-2.5744	-4.5703998	-5.26355	-3.0122557	-2.3264382	-3.112101	-0.7028	-1.5471	-0.0404	-0.7806
HNRNPK	0.48187736	-0.7987	-2.4023	-0.39118794	-2.4505544	-1.7693257	-0.8519	-4.199	-4.7932	-2.248267	1.3057	0.9869	-1.2315	0.31325	1.1303287	-2.76355	-4.6558	-0.0338	1.506	-1.00515	-4.6053	-3.851	1.21585	-1.8803759	0.5076517	-2.7381	-6.1612	-3.4027	-6.801237	1.6677	0.98257077	-2.7079778	-0.5094	0.2176	0.2166	-4.1569	-5.8087	-2.7167	-1.09175	-0.4722	-2.9948	-4.6057	-1.93625	-0.1956	-0.4425	-2.40065	-2.5519	-2.6187	-0.5737	-3.50275	-3.4102502	-3.701018	-0.65755	-0.8014	-1.29575	-3.31475	-0.41540003	-3.075096	-2.6740298	-2.0211635	-7.5162	-0.5381	-2.649	0.5593
IL1RL1	4.0910287	3.2864	1.5763	1.8940933	0.9503277	2.7251961	5.807	3.7813	1.8722999	2.0886397	-1.338	-3.484	-3.183	-0.6368	0.08561911	0.01609999	4.4079	-2.4576	0.0289	0.93855006	-1.1129	1.0608499	1.5144	2.5674367	0.9756497	0.575	2.3394	0.022	3.1680717	1.5701001	0.29027352	-0.82327205	-1.5372	0.4675	1.3219	-3.3993	-1.3463	-0.046900034	4.97855	1.3552	2.1713	-0.3056	4.35565	4.5406	3.6027	4.1673	-0.4417	1.6871	3.115	4.25055	2.24965	-0.43135867	0.82	1.6571001	2.41445	2.2582998	4.0363	-1.2432388	-2.3353906	-1.0187511	-1.7985	-0.159	4.1577	-0.8642
HSP90AA1	-2.7210574	-2.3895	-3.3888	-2.045797	-1.6295565	-2.926758	-1.858	-2.0892	-1.9783001	-0.699935	0.7222	-0.5176	-3.474	-1.86665	-9.361795	-6.10545	-0.94960004	-2.2829	-0.4877	-5.2578497	0.8457	-3.3816	-2.8831	-1.4201193	-0.87446177	-0.0693	0.8111	-6.556	-2.1764379	-3.3265	-2.6208837	-3.5624807	0.005	-0.5967	1.1416	-3.6966	-0.7541	1.8288	-0.6406	2.0276	-3.9156	-3.8169	1.2226499	-1.3219	-1.5069	-2.3764	-1.6104	-1.0755	1.9467499	-1.81505	-0.83	-1.2706573	-3.2579498	-4.42835	-4.76275	-2.2437	-4.66415	-0.99605393	-0.86626387	-1.1148618	-7.2646	-2.1521	-6.3401	-2.1993
ERLIN2	2.3745825	-0.3764	1.5695	0.40347356	-2.6322193	1.2155261	2.5703	-1.8966	1.6197	0.24662608	0.3725	-1.8529	5.3438	0.52535003	-0.05114778	0.60840005	0.88145	-0.2422	0.5584	0.45334998	1.1175	2.1305	2.3729	1.0867343	2.3741722	-0.858	-0.0681	-2.2613	1.3151282	1.59255	1.8138402	-1.1830962	0.0087	-0.9539	1.8133	-2.2577	5.5393	0.65575004	4.3800497	2.7557	0.6264	1.912	1.98085	-2.979	-0.82570004	-1.3292999	-0.1223	-1.0604	-2.2144	0.3966	0.8219	1.8010783	-1.67975	-1.54145	-1.2402999	0.0837	1.3601999	1.1799761	-0.6926633	0.791632	-3.3748	2.0227	-0.8107	0.8318
MED13	-1.4976248	0.521	0.5831	-0.7395553	1.6601455	-0.27614808	0.7772	-1.037	0.40419996	-0.4397813	-1.9308	-1.0729	0.4917	1.3814499	-0.38348225	0.50135005	-1.67425	1.1836	-1.5161	0.55565	-2.0678	0.43154997	-0.86399996	1.8523142	-4.805023	-1.1249	-2.1389	0.5003	1.0337569	-3.1036	-4.5888295	-3.3241587	2.0319	1.5851	-3.9662	-3.9263	-3.3422	-2.9327	-1.68385	-0.6972	-5.034	3.5321	-1.8262	-1.1581	-0.5929	-3.9770002	-0.4939	0.9422	-5.1636	-0.5359	-0.56240004	0.7643963	0.43704998	0.2859	-0.3171	0.20479995	-0.7185	-0.29211894	0.1726309	1.6184306	3.5954	-0.4267	3.3792	0.0955
